Abkhazian,abk
Achinese,ace
Acoli,ach
Adangme,ada
Adyghe,ady
Afar,aar
Afrikaans,afr
Ainu,ain
Akan,aka
Albanian,sqi
Albanian,sqi
Aleut,ale
Amharic,amh
Angika,anp
Arabic,ara
Aragonese,arg
Arapaho,arp
Arawak,arw
Armenian,hye
Armenian,hye
Assamese,asm
Asturian,ast
Avaric,ava
Awadhi,awa
Aymara,aym
Azerbaijani,aze
Balinese,ban
Baluchi,bal
Bambara,bam
Basa,bas
Bashkir,bak
Basque,eus
Basque,eus
Beja,bej
Belarusian,bel
Bemba,bem
Bengali,ben
Bhojpuri,bho
Bikol,bik
Bilin,byn
Bini,bin
Bislama,bis
Bosnian,bos
Braj,bra
Breton,bre
Buginese,bug
Bulgarian,bul
Buriat,bua
Burmese,mya
Burmese,mya
Caddo,cad
Catalan,cat
Cebuano,ceb
Central Khmer,khm
Chamorro,cha
Chechen,che
Cherokee,chr
Cheyenne,chy
Chinese,zho
Chinese,zho
Chinook,chn
Chipewyan,chp
Choctaw,cho
Chuukese,chk
Chuvash,chv
Cornish,cor
Corsican,cos
Cree,cre
Creek,mus
Crimean Tatar,crh
Croatian,hrv
Czech,ces
Czech,ces
Dakota,dak
Danish,dan
Dargwa,dar
Delaware,del
Dhivehi,div
Dinka,din
Dogri,doi
Dogrib,dgr
Duala,dua
Dutch,nld
Dutch,nld
Dyula,dyu
Dzongkha,dzo
Eastern Frisian,frs
Efik,efi
Ekajuk,eka
English,eng
Erzya,myv
Estonian,est
Ewe,ewe
Ewondo,ewo
Fang,fan
Fanti,fat
Faroese,fao
Fijian,fij
Filipino,fil
Finnish,fin
Fon,fon
French,fra
French,fra
Friulian,fur
Fulah,ful
Ga,gaa
Galibi Carib,car
Galician,glg
Ganda,lug
Gayo,gay
Gbaya,gba
Georgian,kat
Georgian,kat
German,deu
German,deu
Gilbertese,gil
Gondi,gon
Gorontalo,gor
Grebo,grb
Guarani,grn
Gujarati,guj
Gwichʼin,gwi
Haida,hai
Haitian,hat
Hausa,hau
Hawaiian,haw
Hebrew,heb
Herero,her
Hiligaynon,hil
Hindi,hin
Hiri Motu,hmo
Hmong,hmn
Hungarian,hun
Hupa,hup
Iban,iba
Icelandic,isl
Icelandic,isl
Igbo,ibo
Iloko,ilo
Inari Sami,smn
Indonesian,ind
Ingush,inh
Inuktitut,iku
Inupiaq,ipk
Irish,gle
Italian,ita
Japanese,jpn
Javanese,jav
Judeo-Arabic,jrb
Judeo-Persian,jpr
Kabardian,kbd
Kabyle,kab
Kachin,kac
Kalaallisut,kal
Kalmyk,xal
Kamba,kam
Kannada,kan
Kanuri,kau
Kara-Kalpak,kaa
Karachay-Balkar,krc
Karelian,krl
Kashmiri,kas
Kashubian,csb
Kazakh,kaz
Khasi,kha
Kikuyu,kik
Kimbundu,kmb
Kinyarwanda,kin
Kirghiz,kir
Komi,kom
Kongo,kon
Konkani,kok
Korean,kor
Kosraean,kos
Kpelle,kpe
Kuanyama,kua
Kumyk,kum
Kurdish,kur
Kurukh,kru
Kutenai,kut
Ladino,lad
Lahnda,lah
Lamba,lam
Lao,lao
Latvian,lav
Lezghian,lez
Limburgan,lim
Lingala,lin
Lithuanian,lit
Low German,nds
Lower Sorbian,dsb
Lozi,loz
Luba-Katanga,lub
Luba-Lulua,lua
Luiseno,lui
Lule Sami,smj
Lunda,lun
Luo,luo
Lushai,lus
Luxembourgish,ltz
Macedo-Romanian,rup
Macedonian,mkd
Macedonian,mkd
Madurese,mad
Magahi,mag
Maithili,mai
Makasar,mak
Malagasy,mlg
Malay,msa
Malay,msa
Malayalam,mal
Maltese,mlt
Manchu,mnc
Mandar,mdr
Mandingo,man
Manipuri,mni
Manx,glv
Maori,mri
Maori,mri
Mapudungun,arn
Marathi,mar
Mari,chm
Marshallese,mah
Marwari,mwr
Masai,mas
Mende,men
Mi'kmaq,mic
Minangkabau,min
Mirandese,mwl
Modern Greek,ell
Mohawk,moh
Moksha,mdf
Mongo,lol
Mongolian,mon
Mossi,mos
N'Ko,nqo
Nauru,nau
Navajo,nav
Ndonga,ndo
Neapolitan,nap
Nepal Bhasa,new
Nepali,nep
Nias,nia
Niuean,niu
Nogai,nog
North Ndebele,nde
Northern Frisian,frr
Northern Sami,sme
Norwegian,nor
Norwegian Bokmål,nob
Norwegian Nynorsk,nno
Nyamwezi,nym
Nyanja,nya
Nyankole,nyn
Nyasa Tonga,tog
Nyoro,nyo
Nzima,nzi
Occitan,oci
Ojibwa,oji
Oriya,ori
Oromo,orm
Osage,osa
Ossetian,oss
Palauan,pau
Pampanga,pam
Pangasinan,pag
Panjabi,pan
Papiamento,pap
Pedi,nso
Persian,fas
Persian,fas
Pohnpeian,pon
Polish,pol
Portuguese,por
Pushto,pus
Quechua,que
Rajasthani,raj
Rapanui,rap
Rarotongan,rar
Romanian,ron
Romansh,roh
Romany,rom
Rundi,run
Russian,rus
Samoan,smo
Sandawe,sad
Sango,sag
Santali,sat
Sardinian,srd
Sasak,sas
Scots,sco
Scottish Gaelic,gla
Selkup,sel
Serbian,srp
Serer,srr
Shan,shn
Shona,sna
Sichuan Yi,iii
Sicilian,scn
Sidamo,sid
Siksika,bla
Sindhi,snd
Sinhala,sin
Skolt Sami,sms
Slave,den
Slovak,slk
Slovenian,slv
Somali,som
Soninke,snk
South Ndebele,nbl
Southern Altai,alt
Southern Sami,sma
Southern Sotho,sot
Spanish,spa
Sranan Tongo,srn
Standard Moroccan Tamazight,zgh
Sukuma,suk
Sundanese,sun
Susu,sus
Swahili,swa
Swati,ssw
Swedish,swe
Swiss German,gsw
Syriac,syr
Tagalog,tgl
Tahitian,tah
Tajik,tgk
Tamashek,tmh
Tamil,tam
Tatar,tat
Telugu,tel
Tereno,ter
Tetum,tet
Thai,tha
Tibetan,bod
Tibetan,bod
Tigre,tig
Tigrinya,tir
Timne,tem
Tiv,tiv
Tlingit,tli
Tok Pisin,tpi
Tokelau,tkl
Tonga,ton
Tsimshian,tsi
Tsonga,tso
Tswana,tsn
Tumbuka,tum
Turkish,tur
Turkmen,tuk
Tuvalu,tvl
Tuvinian,tyv
Twi,twi
Udmurt,udm
Uighur,uig
Ukrainian,ukr
Umbundu,umb
Upper Sorbian,hsb
Urdu,urd
Uzbek,uzb
Vai,vai
Venda,ven
Vietnamese,vie
Votic,vot
Walloon,wln
Waray,war
Washo,was
Welsh,cym
Welsh,cym
Western Frisian,fry
Wolaytta,wal
Wolof,wol
Xhosa,xho
Yakut,sah
Yao,yao
Yapese,yap
Yiddish,yid
Yoruba,yor
Zapotec,zap
Zaza,zza
Zenaga,zen
Zhuang,zha
Zulu,zul
Zuni,zun
